name,cuisine,location,rating,num_of_rating,price_for_two
Momo Maker,"Snacks, Tandoor","CentraL Market, Lajpat Nagar",4.7,20+ ratings,₹ 200
Moets Kulfi,"Desserts, Beverages","Defence colony market, Defence Colony",4.7,50+ ratings,₹ 200
Behrouz Biryani - Royal & Safe,"Biryani, Mughlai","Near Metro Station, Shakarpur Khas",4.7,1K+ ratings,₹ 500
Triveni Terrace Cafe,Indian,"Opposite FICCI Auditorium, Mandi House",4.7,50+ ratings,₹ 400
Momo Guy,"Chinese, Tibetan","GTB Nagar, GTB Nagar",4.6,20+ ratings,₹ 200
Saini Juice,Beverages,"Near Radhe Krishna Mandir, Gautam Nagar",4.6,100+ ratings,₹ 150
Teavaro,"Beverages, Snacks","GTB Nagar, GTB Nagar",4.6,50+ ratings,₹ 400
GANNU'S SHAKES AND SNACKS,"Snacks, Beverages","Laxmi Nagar, Shahdara",4.6,20+ ratings,₹ 200
SABHARWAL AUNTY'S KITCHEN,Indian,"Ashok Vihar, Ashok Vihar",4.6,20+ ratings,₹ 350
PUNIKAR'S Mumbai Street Food,Closes soonSouth Indian,"PANDAV NAGAR, Mayur Vihar",4.6,20+ ratings,₹ 150
Choko La,"Bakery, Desserts","Defence Colony, Kotla Mubarakpur",4.6,50+ ratings,₹ 600
The Old Delhi,"Mughlai, North Indian","Lajpat Nagar, Defence Colony",4.6,20+ ratings,₹ 400
AKU'S - The Brrgrr Co.,"American, Beverages","South Extension, South Extension",4.6,50+ ratings,₹ 600
Zoet Ice Cream and Desserts,"Desserts, Bakery","Maharani Bagh, Defence Colony",4.6,20+ ratings,₹ 300
SANADIGE,"Indian, Coastal","Chanakyapuri, Chanakyapuri",4.6,20+ ratings,₹ 1500
Suvidha Vegetarian (Old Delhi Original),Indian,"Daryaganj, Daryaganj",4.6,100+ ratings,₹ 300
Salad Days,Salads,"Gole Market, Gole Market",4.6,100+ ratings,₹ 600
Caffe Tonino,Italian,"PVR Plaza, Connaught Place",4.6,20+ ratings,₹ 1400
Havmor Havfunn ice cream,"Ice Cream, Ice Cream Cakes","M Block CP, M Block CP",4.6,50+ ratings,₹ 200
Natural Ice Cream,Ice Cream,"L Block,outer circle, Connaught Place",4.6,100+ ratings,₹ 150
Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream","Connaught Place, Connaught Place",4.6,50+ ratings,₹ 300
Bawarchi (Gujranwala Town),"North Indian, Chinese","Gujranwala Town, Gujranwala Town",4.5,100+ ratings,₹ 400
Downtown Delhi,"North Indian, Indian","Laxmi Nagar, Laxmi Nagar",4.5,20+ ratings,₹ 300
Fabcafe By Fabindia,"North Indian, Healthy Food","Lajpat Nagar, Lajpat Nagar",4.5,100+ ratings,₹ 800
Gopal Jee Ki Rasoi,"Indian, Thalis","Kirti Nagar, Kirti Nagar",4.5,50+ ratings,₹ 200
Papacream,Desserts,"South Extension, South Extension",4.5,20+ ratings,₹ 350
PAL CORNER,"Chinese, Fast Food","South Campus, South Campus",4.5,20+ ratings,₹ 250
Large Pot,"North Indian, Snacks","Laxmi Nagar, Laxmi Nagar",4.5,50+ ratings,₹ 150
Chimney Sizzler,"Chinese, Tibetan","Chankyapuri, Chanakyapuri",4.5,100+ ratings,₹ 500
NIC Natural Ice Creams,"Ice Cream, Desserts","Bagh, Karol Bagh",4.5,500+ ratings,₹ 120
Bismillah Kebab Point,"Opens next at 4:10 pm, todayNorth Indian","Old Delhi, Old Delhi",4.5,20+ ratings,₹ 150
Jung Bahadur Kachori Wala (Old Delhi Original),Snacks,"Chandni Chowk, Chandni Chowk",4.5,50+ ratings,₹ 100
Third Wave Coffee Roasters,"Beverages, Pizzas","Connaught Place, Connaught Place",4.5,20+ ratings,₹ 400
Cinnabon & Auntie Anne's,Bakery,"SHIVAJI STADIUM METRO, Connaught Place",4.5,50+ ratings,₹ 500
Theobroma,"Bakery, Desserts","Connaught Place, Connaught Place",4.5,100+ ratings,₹ 800
Hotel Saravana Bhavan,South Indian,"Janpath Market, Connaught Place",4.5,1K+ ratings,₹ 550
Raja Cafe,"Indian, North Indian","Laxmi Nagar, Krishna Nagar",4.4,20+ ratings,₹ 200
Naga Pantry,"Naga, Chinese","Hauz Khas, Hauz Khas",4.4,20+ ratings,₹ 250
Wichee,"Fast Food, Salads","GTB Nagar, GTB Nagar",4.4,50+ ratings,₹ 400
Red Chilli,"North Indian, Chinese","Safdarjung Enclave, Safdarjung Enclave",4.4,20+ ratings,₹ 500
Saladspoint,Salads,"Lajpat Nagar, Lajpat Nagar",4.4,100+ ratings,₹ 600
Prince kitchen,"North Indian, Grill","Lajpat Nagar, Lajpat Nagar",4.4,20+ ratings,₹ 200
Bihar Central,"Bihari, Desserts","Lajpat Nagar, Lajpat Nagar",4.4,100+ ratings,₹ 450
Ramesh Namkeen Bhandar,North Indian,"Patel Nagar, Kirti Nagar",4.4,100+ ratings,₹ 300
For God's Cake,"Bakery, Desserts","Mayur Vihar, Mayur Vihar",4.4,20+ ratings,₹ 350
Moets OH BAO,"Chinese, Thai","Defence Colony, Defence Colony",4.4,20+ ratings,₹ 1200
Miso - The Asian Kitchen,"Asian, Japanese","Laxmi Nagar, Laxmi Nagar",4.4,20+ ratings,₹ 600
The waffle co.,"Desserts, Fast Food","Laxmi Nagar, Shakarpur Khas",4.4,100+ ratings,₹ 220
Slay Coffee,"Beverages, Desserts","Near Metro Station, Shakarpur Khas",4.4,100+ ratings,₹ 200
Mamagoto,"Chinese, Asian","Khan Market, Rabindra Nagar",4.4,100+ ratings,₹ 1100
Standard Corner,Fast Food,"Rajinder Nagar, Rajinder Nagar",4.4,100+ ratings,₹ 100
Bhaja Govindam,"South Indian, North Indian","Daryaganj, Connought Place",4.4,50+ ratings,₹ 600
Cheesecake & co.,"Bakery, Desserts","Laxmi Nagar, Connaught Place",4.4,50+ ratings,₹ 300
FaYian,Chinese,"Connaught Place, Connaught Place",4.4,20+ ratings,₹ 600
Andhra Bhawan Canteen,"Andhra, South Indian","Khan Market, Khan Market, Connaught Place",4.4,100+ ratings,₹ 400
Louis Burger,American,"Connaught Place, Connaught Place",4.4,100+ ratings,₹ 600
Bistro 57,Beverages,"Connaught Place, Connaught Place",4.4,100+ ratings,₹ 300
Rajasthali,"Rajasthani, Thalis","Middle Circle, Connaught Place",4.4,50+ ratings,₹ 300
High on desserts,"Desserts, Beverages","Connaught Place, Connaught Place",4.4,100+ ratings,₹ 120
Chili's American Grill & Bar,"American, Mexican","Connaught place, Connaught Place",4.4,100+ ratings,₹ 900
Daryaganj - By the inventors of Butter Chicken and Dal Makhani,"Indian, North Indian","Connaught Place, Connaught Place",4.4,50+ ratings,₹ 1500
CHINKY'S MOMOS-SHANGHAI FOODS,Fast Food,"Connaught Place, Connaught Place",4.4,20+ ratings,₹ 180
Dunkin',"Beverages, Fast Food","K.G.Marg, Barakhamba",4.4,100+ ratings,₹ 250
Dhaba Food,Indian,"Connaught Place, Barakhamba",4.4,100+ ratings,₹ 200
CHINKY'S MOMOS-SHANGHAI FOODS,Fast Food,"Connaught Place, Connaught Place",4.4,20+ ratings,₹ 180
Dhaba Food,Indian,"Connaught Place, Barakhamba",4.4,100+ ratings,₹ 200
Dunkin',"Beverages, Fast Food","K.G.Marg, Barakhamba",4.4,100+ ratings,₹ 250
McDonald's,"American, Fast Food","Delhi CP N-10, Connaught Place",4.4,100+ ratings,₹ 400
Big Wong,"Chinese, Japanese","Paschim Vihar, Kirti Nagar",4.3,20+ ratings,₹ 900
My Hundred Rupee Meal,North Indian,"LAJPAT NAGAR 2, Lajpat Nagar",4.3,500+ ratings,₹ 300
SHAKE SAHAB,"Beverages, Desserts","Laxmi Nagar, Shahdara",4.3,20+ ratings,₹ 200
Miami Waffles & Jawbreakers,"Waffle, Desserts","GTB Nagar, GTB Nagar",4.3,20+ ratings,₹ 200
CHAWLA'S JUNCTION,"Indian, Beverages","Laxmi Nagar, Krishna Nagar",4.3,20+ ratings,₹ 300
Mad Over Donuts,"Desserts, Sweets","Jal Vihar Road, Lajpat Nagar",4.3,100+ ratings,₹ 200
Dum Biryani By Kilos,Biryani,"Laxmi Nagar, Laxmi Nagar",4.3,20+ ratings,₹ 150
Prince Momo Point,Closes soonChinese,"Hudson lane, Gtb Nagar",4.3,20+ ratings,₹ 200
Zaika Muradabadi Chicken Restaurant,"Biryani, Fast Food","Lajpat Nagar, Lajpat Nagar",4.3,20+ ratings,₹ 250
The Pasta Project,"Pastas, Italian","Lajpat Nagar, Lajpat Nagar",4.3,50+ ratings,₹ 450
Baba's,North Indian,"Greater Kailash 2, Lajpat Nagar",4.3,50+ ratings,₹ 800
Oriental Mom,"Asian, Chinese","Mayur Vihar, Patparganj",4.3,100+ ratings,₹ 600
Caterspoint,"Italian, Indian","Lajpat Nagar, Lajpat Nagar",4.3,500+ ratings,₹ 600
Indian Masala Kitchen,"North Indian, Mughlai","South Extension, Defence Colony",4.3,20+ ratings,₹ 300
Fat Wrap Fat Roll,"Snacks, Beverages","Lajpat Nagar, Lajpat Nagar",4.3,20+ ratings,₹ 400
The Salt Cafe Kitchen & Bar,"North Indian, Chinese","Preet Vihar, Nirman Vihar",4.3,100+ ratings,₹ 1000
Greenit,"Healthy Food, Salads","South Extension, South Extension",4.3,500+ ratings,₹ 400
Moolchand Paratha (Moolchand Metro),"North Indian, Snacks","Moolchand Meetro Station, Lajpat Nagar",4.3,1K+ ratings,₹ 200
Concept,"North Indian, Fast Food","Lajpat Nagar, Lajpat Nagar",4.3,1K+ ratings,₹ 300
Onlinecake.in,Bakery,"Laxmi Nagar, Laxmi Nagar",4.3,20+ ratings,₹ 500
Hishi Cafe,"Snacks, American","Jangpura, Jangpura",4.3,1K+ ratings,₹ 200
Delhi Biryani Hut,"Biryani, Mughlai","Lajpat Nagar, Double Storey",4.3,20+ ratings,₹ 200
Sushiya,Japanese,"Laxmi Nagar, Laxmi Nagar",4.3,100+ ratings,₹ 1200
Chanakya Bar Be Que,"Indian, Seafood","South Campus, Chanakyapuri",4.3,20+ ratings,₹ 600
The cakewell Bakery,"Bakery, Desserts","Pillar 57, Laxmi Nagar",4.3,500+ ratings,₹ 400
The Good Bowl,"North Indian, Punjabi","Laxmi Nagar, Shakarpur Khas",4.3,100+ ratings,₹ 400
If Pizza,"Pizzas, Pastas","GANESH NAGAR, Pandav Nagar",4.3,100+ ratings,₹ 200
Keventers - Milkshakes and Desserts,"Beverages, Ice Cream","East patel nagar, Patel Nagar",4.3,500+ ratings,₹ 300
Subking,American,"Rajinder Nagar, Old Rajinder Nagar, Rajinder Nagar",4.3,500+ ratings,₹ 300
L' Opera,"Bakery, Desserts","Khan Market, Khan Market",4.3,20+ ratings,₹ 600
Camdin Patisserie and Boulangerie,"Bakery, Desserts","Rajinder place, Old Rajinder Nagar, Rajinder Nagar",4.3,100+ ratings,₹ 500
Yum Yum Cha,Japanese,"Khan Market, Rabindra Nagar",4.3,50+ ratings,₹ 1800
Mehtas (Old Delhi Original),"Street Food, Desserts","Daryaganj, Daryaganj",4.3,50+ ratings,₹ 150
Giani's,"Ice Cream, Desserts","Pandara Road Market, Pandara Road",4.3,20+ ratings,₹ 200
Shakahari Restaurant (Chawri Bazaar),"North Indian, Indian","Chawri bazar metro station, Chandni Chowk",4.3,100+ ratings,₹ 300
BITTU KI BIRYANI,Biryani,"Karol Bagh, Karol Bagh",4.3,20+ ratings,₹ 225
Bangla Sweet House,"Sweets, North Indian","Gole Market, Gole Market",4.3,100+ ratings,₹ 150
Kaleva,"North Indian, Chinese","Gole Market, Connaught Place, Delhi",4.3,100+ ratings,₹ 300
Cream Stone Ice Cream,"Ice Cream, Desserts","Paschim Vihar, Barakhamba",4.3,20+ ratings,₹ 200
Ghee and Turmeric,"North Indian, Tandoor","Connaught Place 2 M Block, Connaught Place 2 M Block",4.3,100+ ratings,₹ 500
Barista,"Beverages, Snacks","Regal Cinema Building, Connaught Place",4.3,20+ ratings,₹ 350
Gulati (Pandara Road),Indian,"Khan Market, Pandara Road",4.3,100+ ratings,₹ 1000
Khan Chacha,"North Indian, Kebabs","CP D block, Connaught Place",4.3,100+ ratings,₹ 850
Haldiram's,North Indian,"Connaught Place, Connaught Place",4.3,100+ ratings,₹ 300
Radhey Shyam Subhash Kumar Special Chole Bhature,North Indian,"paharganj, Ratan Lal Market, Paharganj",4.3,500+ ratings,₹ 150
Burger King,American,"Inner Circle, Connaught Place",4.3,1K+ ratings,₹ 350
Refections,"Juices, Beverages","Gautam Nagar, Gautam Nagar",4.2,100+ ratings,₹ 250
SHRI HARI VEGETARIAN RESTAURANT,Indian,"Lajpat Nagar, Lajpat Nagar",4.2,100+ ratings,₹ 250
Punjab Grill - Urban Punjabi Dhaba,"North Indian, Chinese","Bhikaji Cama Place, Rama Krishna Puram",4.2,50+ ratings,₹ 200
Indian Culinaire ,"North Indian, Chinese","Bhikaji Cama Place, Rama Krishna Puram",4.2,20+ ratings,₹ 200
Homefood Company,North Indian,"Block O, Lajpat Nagar II, Lajpat Nagar",4.2,1K+ ratings,₹ 250
TukTuk - Asian on Wheels,"Chinese, Asian","South Extension, South Extension Ii",4.2,50+ ratings,₹ 700
Juicy Lucy Burgers,"American, Fast Food","Kirti Nagar, Kirti Nagar",4.2,500+ ratings,₹ 400
Oh! Pind,"North Indian, Chinese","GTB Nagar, GTB Nagar",4.2,50+ ratings,₹ 500
Indus Flavour,"North Indian, Chinese","GTB Nagar, G T Karnal Road",4.2,100+ ratings,₹ 300
Xero degrees,"North Indian, Chinese","GTB Nagar, Vijay Nagar",4.2,50+ ratings,₹ 250
Flavours by ITC Hotels,"Indian, European","South Campus, Chanakyapuri",4.2,20+ ratings,₹ 1000
Kulfi Bistro (Box Of Delights),"Ice Cream, Desserts","Lajpat Nagar, Hauz Khas",4.2,50+ ratings,₹ 150
Bistro Shakes 97,"Beverages, Juices","vijay nagar, Kalyan Vihar",4.2,20+ ratings,₹ 150
Cake Palace,"Bakery, Desserts","South Extension 2, South Extension 2",4.2,500+ ratings,₹ 400
Bistro Shakes 97,"Beverages, Juices","vijay nagar, Kalyan Vihar",4.2,20+ ratings,₹ 150
Cake Palace,"Bakery, Desserts","South Extension 2, South Extension 2",4.2,500+ ratings,₹ 400
"Classic Juice,Shakes & Mocktails",Beverages,"Vijay nagar, Kalyan Vihar",4.2,50+ ratings,₹ 150
Mazaar Restaurant,Afghani,"Lajpat Nagar, Lajpat Nagar",4.2,50+ ratings,₹ 800
Shagun,"Chinese, Thai","Vijay Nagar, Hudson Lane",4.2,1K+ ratings,₹ 300
Food Bus of India,"Fast Food, Italian","GTB Nagar, GTB Nagar",4.2,50+ ratings,₹ 500
Bengal Sweet Corner,"Sweets, Snacks","Safdarjung Enclave, Safdarjung Enclave",4.2,1K+ ratings,₹ 350
Hong Kong Express,"Chinese, Thai","DDA Market, Lajpat Nagar",4.2,100+ ratings,₹ 450
Parantha On Call,North Indian,"Laxmi Nagar, Laxmi Nagar",4.2,20+ ratings,₹ 300
The Spicy No.1,"Biryani, Chinese","west patel nagar, west patel nagar",4.2,20+ ratings,₹ 150
Bombay Bhelpuri,Street Food,"South Extension, South Extension I",4.2,100+ ratings,₹ 100
Relax Restaurant,"North Indian, Chinese","Lajpat Nagar Market, Lajpat Nagar",4.2,100+ ratings,₹ 400
MoonMoon - Juicy Crustwiches,"American, Snacks","Lajpat Nagar, Lajpat Nagar",4.2,100+ ratings,₹ 300
GUPTA'S VEGETARIAN PARADISE,"Chinese, North Indian","South Extension, South Extension",4.2,50+ ratings,₹ 250
Raju Chat Bhandar (bharat nagar),"Chaat, Snacks","Ashok Vihar, Ashok Vihar",4.2,50+ ratings,₹ 400
AZUKI - Soulful Asian Experience,Asian,"South Extension, South Extension",4.2,100+ ratings,₹ 300
Badmash Biryani,"Biryani, North Indian","South Extension, South Extension",4.2,50+ ratings,₹ 300
Mr Crust Bakers,"Desserts, Bakery","GTB Nagar, Vijay Nagar",4.2,1K+ ratings,₹ 400
Shack Foods,"Fast Food, Continental","Kotla Mubarakpur, South Extension I",4.2,100+ ratings,₹ 250
Rolls Mania,"North Indian, Beverages","Laxmi Nagar, Laxmi Nagar",4.2,50+ ratings,₹ 200
Bengali Sweet Center,"North Indian, South Indian","South Extension, South Extension I",4.2,500+ ratings,₹ 450
Nagpal Di Hatti (Gandhi Nagar),North Indian,"Geeta Colony, Geeta Colony",4.2,500+ ratings,₹ 200
Artiste Handcrafted Ice Cream,"Ice Cream, Desserts","Lajpat Nagar, Lajpat Nagar",4.2,20+ ratings,₹ 300
ANNA DOSA SOUTH INDIAN,"South Indian, North Indian","Lajpat Nagar, Lajpat Nagar",4.2,100+ ratings,₹ 200
Moets Curry Leaf,"Mughlai, North Indian","Defence Colony, Defence Colony",4.2,100+ ratings,₹ 1200
Mehfil,"Mughlai, Indian","Defence Colony, South Extension I",4.2,100+ ratings,₹ 500
Defence Bakery,"Bakery, Desserts","Defence Colony, Defence Colony",4.2,100+ ratings,₹ 500
Matka Cha Do Rusk by Cha Pata Tea,Fast Food,"Laxmi Nagar, Laxmi Nagar",4.2,20+ ratings,₹ 150
SRI BALAJI ANNA DOSA,"South Indian, Indian","Lajpat Nagar, Lajpat Nagar",4.2,50+ ratings,₹ 200
The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream","Laxmi Nagar, Shakarpur Khas",4.2,50+ ratings,₹ 200
Rollz Karvaan,"Snacks, Fast Food","Malviya Nagar, PREET VIHAR",4.2,50+ ratings,₹ 300
PRIYANSHI SOUTH INDIAN FAST FOODPOINT,"South Indian, North Indian","Laxmi Nagar, Laxmi Nagar",4.2,100+ ratings,₹ 200
Nufeast,"Healthy Food, Salads","Karol Bagh, Rajinder Nagar",4.2,500+ ratings,₹ 200
New Om Snacks,Street Food,"Karol Bagh, Krishna Nagar, Karol Bagh",4.2,100+ ratings,₹ 100
Flavour Of Southvala Pvt Ltd,"South Indian, Chinese","Padam singh road, Karol Bagh",4.2,500+ ratings,₹ 300
Grover Mithaivala (Rajinder Nagar),"Bakery, Sweets","Karol Bagh, Karol Bagh",4.2,500+ ratings,₹ 300
Amma Mess,South Indian,"KAROL BAGH, Karol Bagh",4.2,100+ ratings,₹ 300
Ichiban,"Chinese, Thai","Pandara Road Market, Pandara Road",4.2,50+ ratings,₹ 1500
Annakoot by ISKCON Bangalore,"Sweets, South Indian","Connaught Place, Mandi House",4.2,20+ ratings,₹ 500
Great Indian Khichdi by EatFit,"Home Food, Indian","Chuna Mandi Paharganj, Gole Market",4.2,100+ ratings,₹ 200
Naivedyam,South Indian,"Connaught Place, Connaught Place",4.2,50+ ratings,₹ 300
Minar Restaurant,Indian,"Connaught Place, Connaught Place",4.2,20+ ratings,₹ 1200
Bijoli Grill,"North Indian, Chinese","Banga Bhawan, Mandi House",4.2,50+ ratings,₹ 500
Royal restaurant,North Indian,"CP, Barakhamba",4.2,50+ ratings,₹ 400
Chai Point,"Bakery, Beverages","Connaught Place, Connaught Place",4.2,500+ ratings,₹ 150
Andhra Canteen,"South Indian, Biryani","Khan Market, Connaught Place",4.2,20+ ratings,₹ 250
Baskin Robbins,"Desserts, Ice Cream","L-12 Connaught place, L-12 Connaught place",4.2,20+ ratings,₹ 250
Mughlai Junction,"Mughlai, North Indian","Connaught Place, Connaught Place",4.2,100+ ratings,₹ 600
Sandoz ,"Indian, Chinese","Connaught Place, Connaught Place",4.2,100+ ratings,₹ 350
Burger Singh (Big Punjabi Burgers),"Snacks, Fast Food","Outer Circle, Connaught Place",4.2,100+ ratings,₹ 300
Chaayos Chai+Snacks=Relax,"Bakery, Beverages","Chaayos C P - F Block, Connaught Place, Connaught Place",4.2,500+ ratings,₹ 250
Taco Bell,Mexican,"Connaught Circus outer circle, Connaught Place",4.2,500+ ratings,₹ 300
Creme N Crisp,"Desserts, Bakery","Gole Market, Gole Market",4.2,100+ ratings,₹ 400
Biryani By Kilo,"Biryani, Mughlai","N block, Connaught Place",4.2,500+ ratings,₹ 700
Hira Sweets,"North Indian, South Indian","Connaught Place, Connaught Place",4.2,1K+ ratings,₹ 600
Bercos - If you love chinese,"Chinese, Thai","Middle Circle, Connaught Place",4.2,100+ ratings,₹ 600
Biryani Blues,"Biryani, Hyderabadi","Scindia House, Connaught Place",4.2,500+ ratings,₹ 400
Momos House,"Chinese, Thai","Gautam Nagar, Gautam Nagar",4.1,100+ ratings,₹ 200
Vermaji Parathe Wale,North Indian,"GAUTAM NAGAR, Yusuf Sarai",4.1,100+ ratings,₹ 300
Breakfast Point,Indian,"Bhagat Singh Road, Krishna Nagar",4.1,20+ ratings,₹ 150
Chinese Daily,"Pan-Asian, Chinese","Kirti Nagar, Kirti Nagar Industrial Area, Kirti Nagar",4.1,100+ ratings,₹ 400
Doner & Gyros,"Lebanese, Middle Eastern","GTB Nagar, GTB Nagar",4.1,100+ ratings,₹ 550
Tikka Fatory,"Chinese, Snacks","Laxmi Nagar, Laxmi Nagar",4.1,100+ ratings,₹ 300
Waffle Nation,"Desserts, Ice Cream","GTB Nagar, Vijay Nagar",4.1,100+ ratings,₹ 100
Super Snacks ,"North Indian, Chinese","Laxmi Nagar, Ghondi Chowk",4.1,1K+ ratings,₹ 250
Radhe Krishna Chole Bhature,"Opens next at 8:30 am, tomorrowNorth Indian","Geeta Colony, Krishna Nagar",4.1,100+ ratings,₹ 150
Sialkot Vegetarian(Pyare Lal),North Indian,"Geeta Colony, Geeta Colony",4.1,100+ ratings,₹ 250
Bite N Sip,"North Indian, Continental","BHIKAJI CAMA, Rama Krishna Puram",4.1,50+ ratings,₹ 250
Fitchef,"Healthy Food, Salads","mangal bazaar, updated",4.1,100+ ratings,₹ 400
Vip RDX Resto & Bar,North Indian,"Hauz Khas, Safdarjung Enclave",4.1,100+ ratings,₹ 350
JAIN DHABA,"Tandoor, Indian","Laxmi Nagar, Shahdara",4.1,100+ ratings,₹ 200
Wicked Waffles,"Desserts, Beverages","Preet Vihar, Preet Vihar",4.1,50+ ratings,₹ 200
Gupta's Restaurant,North Indian,"South Extension 2, South Extension Ii",4.1,100+ ratings,₹ 300
Pasta Unplugged,"Pastas, Italian","Lajpat Nagar, Lajpat Nagar",4.1,100+ ratings,₹ 500
Chinese Hawker,"Pan-Asian, Chinese","Mayur Vihar, Patparganj",4.1,500+ ratings,₹ 300
Arabian Delites,"Arabian, Lebanese","Defence Colony, Defence Colony",4.1,50+ ratings,₹ 200
Qureshi's Kabab Corner,"Indian, Mughlai","Defence Colony, Lajpat Nagar",4.1,50+ ratings,₹ 500
NYC.PIE ,"Pizzas, Italian","New Lajpat Nagar, Lajpat Nagar",4.1,50+ ratings,₹ 400
Biryani Hazir ho,"Biryani, North Indian","South Extension, South Extension",4.1,50+ ratings,₹ 300
Shivani Food House,"Indian, Snacks","Kotla mubarakpur, Kotla mubarakpur",4.1,50+ ratings,₹ 200
NAGPAL HAVELI BLD,"Beverages, Salads","Lajpat Nagar, Lajpat Nagar",4.1,20+ ratings,₹ 200
7th Heaven,"Bakery, Desserts","Mayur Vihar, Mayur Vihar",4.1,50+ ratings,₹ 250
Firangi Bake,"Italian, Mexican","Kotla Mubarak Pur, South Extension I",4.1,20+ ratings,₹ 400
Sweet Truth - Cake and Desserts,"Ice Cream, Bakery","Kotla Mubarak Pur, South Extension I",4.1,50+ ratings,₹ 450
Amici Cafe,Italian,"South Extension, Defence Colony",4.1,20+ ratings,₹ 1500
28 Capri Italy,Italian,"Lajpat Nagar, Defence Colony",4.1,50+ ratings,₹ 1000
Love & Cheesecake,"Desserts, Bakery","South Extension, Defence Colony",4.1,20+ ratings,₹ 900
Maddi sweet center,Sweets,"Hauz Khas, south extenison",4.1,50+ ratings,₹ 200
Mehta Food Junction,North Indian,"Laxmi Nagar, Shakarpur Khas",4.1,100+ ratings,₹ 300
Beliram Degchiwala (Jangpura),"Mughlai, North Indian","Jangpura, Jungpura Extension",4.1,20+ ratings,₹ 700
Urban Vada Pav,Snacks,"Laxmi Nagar, Shakarpur Khas",4.1,100+ ratings,₹ 150
Fujiya,"Chinese, Japanese","Malcha Marg, Chanakyapuri",4.1,50+ ratings,₹ 1500
LunchBox - Meals and Thalis,"North Indian, Punjabi","Rajdner Place, Rajendra Place",4.1,100+ ratings,₹ 200
Qd's,"North Indian, Chinese","Karol Bagh, Krishna Nagar, Karol Bagh",4.1,1K+ ratings,₹ 350
South Indian Cafe,"South Indian, Chinese","Rajinder Nagar, New Rajinder Nagar",4.1,100+ ratings,₹ 200
Aunty's Paranthe,"North Indian, Fast Food","Karol Bagh, Karol Bagh",4.1,100+ ratings,₹ 200
Nagpal Chole Bhature,North Indian,"Karol Bagh, Karol Bagh",4.1,50+ ratings,₹ 250
